De donkere kamer van Damokles,Willem Frederik Hermans,Nederlands,978-90-282-0829-0,Roman,320,Volwassenen,Een man raakt verstrikt in de verwarring tussen werkelijkheid en illusie tijdens de Tweede Wereldoorlog.
Harry Potter and the Philosopher's Stone,J.K. Rowling,English,978-0-7475-3269-9,Fantasy,223,Jeugd,A young wizard discovers his identity and begins a magical education at Hogwarts.
L'Alchimiste,Paulo Coelho,Français,978-2-07-036053-7,Roman philosophique,208,Volwassenen,Un berger andalou part à la recherche d'un trésor et découvre sa légende personnelle.
El amor en los tiempos del cólera,Gabriel García Márquez,Español,978-84-376-0494-7,Novela,348,Volwassenen,Una historia de amor que atraviesa décadas en el Caribe colombiano.
Der Vorleser,Bernhard Schlink,Deutsch,978-3-518-45678-0,Roman,208,Volwassenen,Eine Beziehung in der Nachkriegszeit mit schwerwiegenden moralischen Fragen.
Il nome della rosa,Umberto Eco,Italiano,978-88-452-0036-2,Historical mystery,512,Volwassenen,Ein mittelalterlicher Kriminalroman in einem abgelegenen Kloster.
A Little Life,Hanya Yanagihara,English,978-1-4447-9536-6,Contemporary fiction,720,Volwassenen,Vier vrienden en de littekens van hun verleden — een intens en ontroerend verhaal.
Norwegian Wood,Haruki Murakami,Chinees,978-4-10-353405-1,Romance / Coming-of-age,296,Volwassenen,Een nostalgisch verhaal over verlies en volwassen worden in het studententijdperk.
O Pequeno Príncipe,Antoine de Saint-Exupéry,Português,978-85-359-0276-7,Kinderboek / Filosofie,96,Alle leeftijden,Een filosofisch sprookje over een kleine prins die verschillende planeten bezoekt.
Sapiens: A Brief History of Humankind,Yuval Noah Harari,English,978-0-06-231609-7,Non-fiction,443,Volwassenen,A wide-ranging overview of the history and impact of Homo sapiens.
